pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
4071081,1,0,4,1,0,10,46,0,0,1,16,16,16,16,8,5,8,8,16,16,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,9,1,2,9,1,1,1,1,1,4,4,4,4,1,1,9,3,0,24,500,2,1,15,22,3,1,2,1
6902937,3,0,5,1,0,3,5,0,0,1,3,3,4,4,1,1,0,0,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,1,1,2,2,3
6599844,2,0,4,1,0,17,28,0,0,1,0,0,23,23,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,50,0,2,1,0,29,6,1,2,3
8821458,3,0,2,1,0,2,8,0,0,1,2,2,2,2,0,0,0,0,3,3,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,1,1,1,2,1,1,2,9,2,0,0,0,0,0,0,0,0,0,2,2,1,0,6,0,0,0,4,1,1,2,2,3
7505022,1,0,1,1,0,10,9,0,0,1,10,10,14,14,2,2,2,2,8,8,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,4,0,0,0,0,1,2,2,2,1
4972712,1,0,3,1,0,5,5,0,0,1,3,3,3,3,0,0,0,0,3,0,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,1,1,2,1,9,1,2,9,1,4,4,4,4,4,4,4,4,1,1,9,0,0,15,0,0,1,0,1,1,1,2,1
3999505,3,0,2,1,0,5,10,0,0,2,4,4,7,7,0,0,0,0,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,2,9,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,2,2,3
5019074,3,0,1,5,0,0,2,0,0,2,1,1,1,1,0,0,0,0,0,0,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,2,3
6840123,3,0,2,6,0,1,5,0,0,1,3,3,3,3,0,0,0,0,3,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,2,1,1,2,3
4089352,1,0,1,1,0,8,25,0,0,1,9,9,6,6,11,11,9,9,15,12,1,1,2,1,2,2,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,11,0,40,0,5,1,3,3,3,1,2,3
