pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn,Cluster,Deficit_Tier
5990730,2,1,1,1,24,2,24,0,0,1,7,7,5,5,2,1,2,1,7,5,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,17,0,0,1,0,2,0,1,2,3,2,Well Equipped
5043894,1,2,3,1,12,2,11,0,0,1,5,5,5,5,0,0,0,0,8,8,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,2,1,2,1,0,0,0,0,0,0,0,0,0,2,9,0,0,12,0,0,0,0,3,3,1,2,3,2,Well Equipped
4216141,3,2,2,2,7,8,7,0,0,1,0,0,2,2,0,0,0,0,0,0,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,3,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,4,0,15,0,12,1,2,1,3,1,2,2,2,Well Equipped
8756395,3,10,6,2,8,3,7,0,0,1,2,2,2,2,0,0,0,0,6,6,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,5,5,13,0,13,1,1,2,1,1,2,2,2,Well Equipped
4529081,3,8,7,1,8,0,8,0,0,2,3,3,2,2,1,1,1,1,5,6,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,24,0,1,0,0,1,2,1,1,2,2,Well Equipped
6710348,3,5,1,1,5,0,2,0,3,2,1,1,1,1,1,1,1,1,4,4,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,5,3,10,0,10,1,1,1,1,1,1,2,2,Well Equipped
4540328,1,1,1,1,8,2,7,0,0,1,8,8,6,6,0,0,0,0,13,13,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,2,2,0,Server Deficit
8260399,2,1,1,1,25,7,25,0,0,1,7,7,6,6,2,1,2,1,21,6,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,4,0,25,1,0,3,0,1,1,2,2,Well Equipped
7907517,1,2,2,1,32,5,35,0,0,1,7,7,18,18,0,0,0,0,19,0,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,2,1,1,9,1,2,9,1,1,1,1,4,4,4,4,4,1,1,9,0,0,50,0,0,1,18,18,5,1,2,3,1,Moderate Deficit
5772693,2,2,2,1,11,1,11,0,0,2,4,4,4,4,2,2,2,2,4,8,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,1,28,0,2,1,0,10,0,1,2,2,2,Well Equipped
