pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn,Cluster,Deficit_Tier
3223029,3,2,1,0,1,0,0,2,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,Server Deficit
3226922,6,5,1,0,0,0,0,6,6,0,0,0,3,3,0,2,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,1,Moderate Deficit
3227196,2,2,0,0,0,0,0,2,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Server Deficit
3234328,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Server Deficit
3234479,2,2,0,0,0,0,2,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Server Deficit
3237766,2,1,1,0,0,0,1,1,2,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Server Deficit
3240368,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Server Deficit
3240738,12,7,5,0,0,0,1,11,3,9,0,0,10,2,6,4,2,2,3,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1,Moderate Deficit
3245762,7,7,0,0,1,0,0,6,7,0,0,2,2,3,4,4,3,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,1,Moderate Deficit
3254839,2,2,0,0,0,0,2,0,2,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Server Deficit
3256560,6,5,1,0,1,1,0,4,6,0,0,1,1,4,1,2,4,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,Moderate Deficit
3265012,6,6,0,0,1,2,1,2,6,0,0,2,3,1,1,3,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,1,Moderate Deficit
3268428,15,9,6,0,5,2,1,7,15,0,0,1,1,13,2,2,1,0,0,0,7,5,0,0,0,1,1,11,1,0,1,0,0,0,0,0,1,2,Well Equipped
3279351,6,5,1,0,0,4,0,2,5,0,1,1,3,2,0,1,4,1,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,1,Moderate Deficit
3279510,10,8,2,0,1,0,0,9,9,0,1,2,4,4,3,2,2,2,1,0,3,0,0,0,0,1,0,6,0,1,1,0,0,1,0,0,1,1,Moderate Deficit
3280822,11,7,4,0,4,1,3,3,11,0,0,2,1,8,1,5,5,1,0,0,0,0,0,0,7,1,0,7,1,1,0,0,0,1,0,0,0,1,Moderate Deficit
3283306,2,2,0,0,0,0,2,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Server Deficit
3283891,8,7,1,0,0,1,0,7,8,0,0,1,3,4,0,3,5,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,0,0,1,Moderate Deficit
3287366,9,7,2,0,0,3,1,5,9,0,0,0,6,3,1,3,4,2,0,0,0,0,0,0,1,0,0,5,0,0,4,0,0,0,0,0,0,1,Moderate Deficit
3296369,8,7,1,0,3,0,0,5,7,1,0,0,5,3,0,0,0,0,8,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,1,Moderate Deficit
3299244,9,8,1,0,3,2,0,4,9,0,0,0,4,5,5,4,3,2,0,0,0,0,0,0,1,1,0,7,0,1,0,0,0,0,0,0,1,1,Moderate Deficit
3312232,6,2,4,0,1,1,0,4,6,0,0,0,2,4,0,2,1,3,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,1,Moderate Deficit
3317957,16,8,8,0,3,2,0,11,15,0,1,0,2,14,3,1,1,3,1,8,0,2,0,0,1,0,1,11,0,0,0,0,0,4,0,0,1,2,Well Equipped
3320077,8,2,6,0,1,0,0,7,8,0,0,1,7,0,0,0,3,2,0,0,0,0,0,3,0,0,0,7,1,0,0,0,0,0,0,0,0,1,Moderate Deficit
3321590,2,2,0,0,0,0,2,0,2,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Server Deficit
3324792,8,6,2,0,0,1,5,2,8,0,0,0,0,8,3,0,2,0,2,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,Moderate Deficit
3330522,5,1,4,0,3,1,0,1,5,0,0,0,2,3,0,1,4,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,1,Moderate Deficit
3334806,8,8,0,0,1,1,2,4,8,0,0,2,4,2,2,3,2,0,2,0,1,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,0,1,Moderate Deficit
3343288,8,6,2,0,1,2,0,5,8,0,0,3,4,1,4,4,3,1,0,0,0,0,0,0,1,4,1,1,0,2,0,0,0,0,0,0,1,1,Moderate Deficit
3350192,9,6,3,0,4,0,2,3,9,0,0,0,3,6,3,0,1,0,3,0,3,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,Moderate Deficit
3356368,3,1,2,0,1,1,0,1,3,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,Server Deficit
3359510,2,2,0,0,0,0,0,2,2,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Server Deficit
3367278,2,2,0,0,0,0,0,2,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Server Deficit
3369540,2,2,0,0,0,0,0,2,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Server Deficit
3370118,28,8,20,0,19,0,0,9,17,10,1,5,13,10,2,3,4,3,11,7,0,0,0,0,0,0,2,23,0,0,0,0,1,2,0,0,0,2,Well Equipped
3372231,4,3,1,0,0,2,1,1,4,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,Server Deficit
3374413,9,7,2,0,1,2,0,6,9,0,0,0,3,6,1,0,2,0,2,4,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,Moderate Deficit
3375817,2,2,0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Server Deficit
3379865,9,8,1,0,0,1,2,6,9,0,0,2,1,6,6,3,1,1,1,0,3,0,0,0,0,0,2,6,0,0,0,0,0,1,0,0,0,1,Moderate Deficit
3386108,4,3,1,0,0,1,0,3,4,0,0,0,2,2,1,2,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,Server Deficit
3395935,3,2,1,0,1,0,1,1,3,0,0,1,1,1,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,Server Deficit
3400005,6,4,2,0,0,0,3,3,5,1,0,2,4,0,0,2,0,4,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,2,0,0,0,1,Moderate Deficit
3412077,6,6,0,0,3,0,1,2,6,0,0,1,1,4,2,2,1,0,0,2,1,0,0,0,1,0,1,4,0,0,1,0,0,0,0,0,0,1,Moderate Deficit
3424184,2,1,1,0,0,0,2,0,2,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Server Deficit
